lmstar,z_best,lsma,lssfr,dlsma,dlssfr,lAv,b2a,ssfr_flag,lsigsfr,sigstar,lSIGgas_KS,lSIGgas_eKS,lSIGgas_dyn_TF,lSIGgas_dyn_GMs,lSIGgas_dyn_GMtot,lSIGgas_re,lSIGmol_T18,lSIGmol_mff,lSIGmol_mff_varyH,lmgas_KS,lmgas_eKS,lmgas_dyn_TF,lmgas_dyn_GMs,lmgas_dyn_GMtot,lmgas_re,lmmol_T18,lmmol_mff,lmmol_mff_varyH,lmmol_re,lAvtot_KS,lAvtot_eKS,lAvtot_dyn_TF,lAvtot_dyn_GMs,lAvtot_dyn_GMtot,lAvtot_re,lAvmol_T18,lAvmol_mff,lAvmol_mff_varyH,ltautot_KS,ltautot_eKS,ltautot_dyn_TF,ltautot_dyn_GMs,ltautot_dyn_GMtot,ltautot_re,ltaumol_T18,ltaumol_mff,ltaumol_mff_varyH
9.640,1.528,0.200,-8.925,-0.228,-0.268,-0.202,0.490,1.000,-0.483,8.442,8.476,11.582,445092526.561,8.799,8.541,8.392,8.220,8.164,8.564,9.675,12.781,445092527.760,9.997,9.740,9.289,9.419,9.363,9.763,9.118,0.727,3.833,inf,1.050,0.792,0.643,0.471,0.415,0.815,0.691,3.797,inf,1.014,0.756,0.607,0.435,0.379,0.779
9.076,2.462,0.162,-8.245,-0.101,0.181,-0.813,0.390,1.000,-0.292,7.953,8.614,12.011,892341483.260,9.215,8.572,8.371,7.904,8.324,8.711,9.737,13.134,892341484.383,10.337,9.695,9.192,9.027,9.446,9.834,8.726,0.414,3.812,inf,1.015,0.373,0.171,-0.296,0.124,0.512,0.379,3.776,inf,0.979,0.337,0.135,-0.331,0.088,0.476
9.134,0.733,0.394,-8.710,-0.019,0.223,-0.301,0.298,1.000,-1.163,7.546,7.983,11.369,227411413.007,8.663,8.089,7.734,7.202,7.783,8.247,9.570,12.956,227411414.594,10.251,9.676,9.020,8.789,9.370,9.835,8.488,0.248,3.635,inf,0.929,0.354,-0.001,-0.533,0.048,0.513,0.213,3.599,inf,0.893,0.318,-0.037,-0.569,0.012,0.477
9.076,0.647,0.151,-9.119,-0.253,-0.190,0.114,0.375,1.000,-1.144,7.975,7.997,11.174,148076838.004,8.347,8.084,7.892,7.331,7.762,8.146,9.098,12.274,148076839.104,9.448,9.185,8.692,8.432,8.863,9.247,8.131,0.271,3.448,inf,0.621,0.358,0.166,-0.395,0.036,0.420,0.235,3.412,inf,0.585,0.322,0.130,-0.431,0.000,0.384
9.344,0.391,0.328,-8.747,-0.145,0.543,-0.301,0.256,1.000,-0.856,7.891,8.206,11.495,383989617.206,8.765,8.301,7.841,7.520,8.010,8.452,9.659,12.949,383989618.660,10.219,9.754,8.994,8.974,9.463,9.906,8.673,0.665,3.954,inf,1.224,0.759,0.300,-0.021,0.468,0.911,0.629,3.918,inf,1.188,0.724,0.264,-0.057,0.432,0.875
10.061,0.688,0.452,-9.561,-0.106,-0.570,0.342,0.326,0.000,-1.201,8.359,7.956,10.926,120902691.586,8.247,8.123,7.984,7.783,7.744,8.228,9.657,12.627,120902693.287,9.949,9.824,9.384,9.485,9.445,9.929,9.184,0.515,3.485,inf,0.807,0.683,0.544,0.343,0.303,0.787,0.479,3.449,inf,0.771,0.647,0.508,0.307,0.268,0.751
9.312,2.157,0.159,-8.739,-0.138,-0.239,-0.393,0.523,1.000,-0.542,8.197,8.433,11.647,429074889.599,8.841,8.475,8.339,7.983,8.115,8.501,9.548,12.762,429074890.715,9.957,9.590,9.153,9.098,9.230,9.616,8.797,0.414,3.628,inf,0.822,0.455,0.320,-0.037,0.096,0.482,0.378,3.592,inf,0.786,0.419,0.284,-0.073,0.060,0.446
9.371,1.007,0.463,-8.723,0.052,0.021,-0.046,0.382,1.000,-1.077,7.646,8.046,11.403,256410166.323,8.734,8.173,7.866,7.439,7.804,8.292,9.771,13.128,256410168.048,10.459,9.898,9.290,9.164,9.529,10.017,8.863,0.316,3.674,inf,1.005,0.444,0.137,-0.290,0.075,0.563,0.281,3.638,inf,0.969,0.408,0.101,-0.326,0.039,0.527
9.201,0.861,0.431,-8.718,0.007,0.219,-0.155,0.399,1.000,-1.177,7.541,7.973,11.359,219438570.818,8.671,8.090,7.726,7.244,7.731,8.208,9.633,13.019,219438572.478,10.331,9.750,9.085,8.904,9.391,9.868,8.603,0.222,3.607,inf,0.919,0.339,-0.025,-0.507,-0.020,0.457,0.186,3.572,inf,0.884,0.303,-0.061,-0.543,-0.056,0.421
9.801,2.077,0.329,-8.803,-0.037,-0.151,-0.150,0.667,1.000,-0.458,8.345,8.494,11.655,567136544.209,8.936,8.591,8.368,8.275,8.136,8.579,9.950,13.110,567136545.665,10.392,10.047,9.523,9.731,9.592,10.035,9.430,0.711,3.871,inf,1.153,0.808,0.585,0.492,0.352,0.795,0.675,3.835,inf,1.117,0.772,0.549,0.456,0.317,0.759
9.210,0.902,0.566,-9.380,0.141,-0.443,-0.296,0.235,1.000,-2.101,7.279,7.303,10.592,35157761.394,7.945,7.570,7.297,6.636,7.192,7.714,9.234,12.523,35157763.324,9.876,9.500,8.927,8.566,9.122,9.644,8.265,-0.458,2.831,inf,0.184,-0.192,-0.464,-1.125,-0.570,-0.048,-0.494,2.795,inf,0.148,-0.227,-0.500,-1.161,-0.605,-0.083
9.124,1.048,0.613,-9.018,0.235,-0.319,-0.296,0.639,1.000,-1.919,7.099,7.436,10.860,62281102.661,8.241,7.655,7.384,6.646,7.169,7.706,9.460,12.884,62281104.686,10.266,9.680,9.108,8.671,9.193,9.731,8.370,-0.407,3.017,inf,0.399,-0.187,-0.458,-1.196,-0.674,-0.136,-0.442,2.981,inf,0.363,-0.223,-0.494,-1.232,-0.710,-0.172
10.558,0.620,0.624,-9.400,-0.010,-0.378,0.041,0.596,1.000,-0.889,8.511,8.182,11.153,270234671.783,8.570,8.404,8.140,8.024,7.865,8.406,10.228,13.200,270234673.829,10.617,10.451,9.886,10.071,9.912,10.453,9.770,0.837,3.809,inf,1.226,1.060,0.796,0.680,0.520,1.062,0.801,3.773,inf,1.190,1.024,0.760,0.644,0.485,1.026
9.279,1.328,0.389,-8.830,-0.010,-0.103,-0.580,0.652,1.000,-1.128,7.702,8.009,11.325,199552963.850,8.618,8.135,7.873,7.416,7.693,8.156,9.585,12.902,199552965.427,10.194,9.712,9.149,8.993,9.269,9.732,8.692,0.155,3.472,inf,0.764,0.281,0.019,-0.438,-0.161,0.302,0.119,3.436,inf,0.728,0.246,-0.016,-0.474,-0.197,0.266
9.500,1.089,0.652,-9.156,0.223,-0.388,-0.398,0.323,1.000,-1.758,7.398,7.552,10.866,74838295.240,8.271,7.807,7.523,7.024,7.374,7.925,9.654,12.968,74838297.342,10.373,9.909,9.324,9.126,9.476,10.027,8.825,-0.150,3.164,inf,0.569,0.105,-0.179,-0.678,-0.328,0.223,-0.186,3.128,inf,0.533,0.069,-0.215,-0.714,-0.364,0.187
10.344,2.112,0.713,-9.989,0.271,-1.168,0.114,0.350,0.000,-1.869,8.120,7.472,10.397,38396120.512,7.830,7.740,7.717,7.505,7.289,7.860,9.696,12.622,38396122.736,10.055,9.965,9.640,9.730,9.513,10.084,9.429,-0.119,2.806,inf,0.239,0.149,0.126,-0.086,-0.302,0.269,-0.155,2.771,inf,0.204,0.114,0.090,-0.121,-0.338,0.233
9.621,2.485,0.486,-8.608,0.145,-0.012,-0.523,0.504,1.000,-0.757,7.852,8.278,11.611,455366015.772,8.963,8.391,8.107,7.864,7.977,8.473,10.047,13.381,455366017.541,10.732,10.161,9.575,9.633,9.747,10.242,9.332,0.354,3.687,inf,1.039,0.467,0.183,-0.060,0.053,0.549,0.318,3.652,inf,1.003,0.431,0.147,-0.096,0.018,0.513
9.253,1.718,0.320,-8.812,-0.061,-0.254,-0.429,0.354,1.000,-0.998,7.814,8.103,11.396,229535599.399,8.658,8.207,8.019,7.536,7.868,8.308,9.542,12.835,229535600.838,10.097,9.646,9.157,8.975,9.307,9.747,8.674,0.144,3.437,inf,0.699,0.248,0.060,-0.423,-0.091,0.349,0.108,3.401,inf,0.663,0.212,0.024,-0.459,-0.127,0.313
9.248,1.105,0.551,-8.450,0.156,0.272,-0.398,0.480,1.000,-1.102,7.348,8.028,11.528,320359581.191,8.902,8.119,7.761,7.265,7.754,8.271,9.928,13.428,320359583.091,10.802,10.019,9.360,9.166,9.655,10.172,8.864,0.221,3.722,inf,1.096,0.313,-0.046,-0.541,-0.052,0.465,0.185,3.686,inf,1.060,0.277,-0.082,-0.577,-0.088,0.429
9.428,1.678,0.506,-8.742,0.103,-0.140,-0.222,0.176,1.000,-1.124,7.617,8.011,11.372,234681146.929,8.723,8.154,7.889,7.471,7.885,8.387,9.822,13.182,234681148.739,10.533,9.964,9.398,9.282,9.695,10.197,8.981,0.142,3.502,inf,0.853,0.284,0.019,-0.399,0.015,0.517,0.106,3.466,inf,0.817,0.248,-0.017,-0.434,-0.021,0.481
10.573,1.640,-0.003,-10.257,-0.545,-1.363,-0.064,0.398,-1.000,-0.476,9.781,8.481,10.919,159756870.991,8.035,8.031,8.780,8.899,8.199,8.531,9.273,11.711,159756871.783,8.826,8.822,9.271,9.691,8.991,9.323,9.390,1.011,3.449,inf,0.564,0.560,1.310,1.429,0.728,1.061,0.975,3.413,inf,0.528,0.524,1.274,1.393,0.693,1.025
9.522,2.029,0.188,-8.725,-0.138,-0.160,-0.092,0.490,1.000,-0.378,8.348,8.552,11.731,587993435.951,8.945,8.598,8.429,8.224,8.234,8.630,9.727,12.906,587993437.126,10.120,9.772,9.303,9.399,9.409,9.805,9.098,0.657,3.836,inf,1.050,0.702,0.534,0.329,0.339,0.735,0.621,3.800,inf,1.014,0.666,0.498,0.293,0.303,0.699
10.134,0.774,0.724,-8.797,0.155,0.198,0.210,0.290,1.000,-0.910,7.888,8.167,11.445,419660847.274,8.911,8.380,7.924,7.796,7.956,8.530,10.413,13.691,419660849.520,11.157,10.626,9.869,10.042,10.202,10.776,9.741,0.725,4.003,inf,1.469,0.938,0.482,0.354,0.514,1.089,0.689,3.967,inf,1.434,0.902,0.446,0.318,0.478,1.053
10.270,0.520,0.288,-10.227,-0.302,-1.223,-0.301,0.695,-1.000,-1.332,8.895,7.861,10.531,54489660.275,7.767,7.752,8.119,7.890,7.547,7.977,9.236,11.906,54489661.650,9.142,9.126,9.193,9.264,8.922,9.352,8.963,0.491,3.161,inf,0.397,0.382,0.750,0.520,0.178,0.607,0.455,3.126,inf,0.362,0.346,0.714,0.484,0.142,0.571
9.201,1.022,0.761,-8.980,0.372,-0.267,-0.448,0.584,1.000,-2.099,6.882,7.305,10.794,54688833.289,8.244,7.553,7.237,6.500,7.062,7.648,9.625,13.113,54688835.609,10.564,9.873,9.256,8.819,9.381,9.968,8.518,-0.496,2.992,inf,0.442,-0.248,-0.564,-1.302,-0.740,-0.153,-0.532,2.956,inf,0.406,-0.284,-0.600,-1.338,-0.776,-0.189
9.179,1.100,0.212,-8.517,-0.173,0.192,-0.301,0.536,1.000,-0.561,7.956,8.420,11.749,537128830.131,8.970,8.443,8.175,7.765,8.099,8.503,9.643,12.972,537128831.354,10.193,9.666,9.097,8.988,9.322,9.726,8.687,0.585,3.915,inf,1.135,0.608,0.341,-0.070,0.265,0.669,0.549,3.879,inf,1.100,0.573,0.305,-0.105,0.229,0.633
9.795,1.621,0.174,-8.558,-0.273,0.138,0.077,0.699,1.000,0.090,8.648,8.892,12.035,1420469289.044,9.256,8.904,8.659,8.673,8.495,8.886,10.039,13.182,1420469290.191,10.403,10.051,9.505,9.820,9.642,10.033,9.519,1.184,4.328,inf,1.548,1.196,0.951,0.966,0.787,1.178,1.148,4.292,inf,1.512,1.161,0.916,0.930,0.751,1.143
9.453,1.743,0.147,-8.538,-0.259,0.071,-0.222,0.541,1.000,-0.177,8.361,8.698,11.919,892333887.028,9.119,8.705,8.491,8.296,8.353,8.736,9.790,13.012,892333888.121,10.211,9.797,9.283,9.389,9.446,9.829,9.088,0.826,4.047,inf,1.247,0.833,0.619,0.424,0.481,0.864,0.790,4.012,inf,1.211,0.797,0.584,0.389,0.446,0.828
9.905,2.115,0.580,-8.372,0.200,0.312,-0.398,0.367,1.000,-0.426,7.947,8.518,11.885,1022021951.320,9.294,8.611,8.230,8.172,8.244,8.771,10.476,13.844,1022021953.279,11.252,10.569,9.887,10.130,10.202,10.729,9.829,0.770,4.138,inf,1.546,0.863,0.482,0.425,0.497,1.023,0.735,4.102,inf,1.511,0.828,0.446,0.389,0.461,0.987
9.588,1.762,0.254,-8.538,-0.168,0.104,0.000,0.429,1.000,-0.257,8.281,8.640,11.882,871204507.887,9.132,8.678,8.423,8.276,8.334,8.752,9.946,13.188,871204509.193,10.438,9.984,9.428,9.582,9.640,10.058,9.281,0.823,4.064,inf,1.315,0.861,0.605,0.458,0.517,0.935,0.787,4.028,inf,1.279,0.825,0.570,0.423,0.481,0.899
9.953,1.084,0.446,-8.789,-0.045,0.062,0.328,0.319,1.000,-0.526,8.263,8.445,11.630,591034580.155,8.968,8.577,8.246,8.178,8.198,8.680,10.135,13.319,591034581.845,10.658,10.266,9.634,9.868,9.887,10.369,9.567,0.895,4.080,inf,1.418,1.026,0.695,0.628,0.648,1.129,0.859,4.044,inf,1.382,0.991,0.660,0.592,0.612,1.094
9.836,0.346,-0.085,-10.455,-0.653,-1.161,-0.371,0.758,-1.000,-1.246,9.209,7.923,10.458,39736335.320,7.509,7.505,8.159,7.934,7.592,7.897,8.550,11.085,39736335.947,8.137,8.132,8.485,8.562,8.219,8.524,8.261,0.514,3.048,inf,0.100,0.096,0.750,0.525,0.183,0.488,0.478,3.013,inf,0.064,0.060,0.714,0.489,0.147,0.452
9.747,2.428,0.630,-8.602,0.271,0.034,-0.388,0.423,1.000,-0.912,7.690,8.165,11.542,410793179.359,8.961,8.314,7.980,7.759,7.899,8.443,10.223,13.599,410793181.417,11.019,10.372,9.736,9.817,9.957,10.500,9.516,0.307,3.683,inf,1.102,0.455,0.121,-0.100,0.041,0.584,0.271,3.647,inf,1.066,0.419,0.085,-0.136,0.005,0.548
9.843,1.072,0.438,-8.725,-0.038,0.106,0.031,0.740,1.000,-0.556,8.169,8.424,11.648,581614377.796,8.981,8.544,8.209,8.099,8.056,8.535,10.097,13.322,581614379.469,10.655,10.218,9.581,9.772,9.730,10.209,9.471,0.843,4.067,inf,1.401,0.963,0.628,0.518,0.475,0.954,0.807,4.031,inf,1.365,0.927,0.592,0.482,0.439,0.918
10.161,0.616,0.828,-9.158,0.255,-0.161,-0.046,0.932,1.000,-1.452,7.706,7.774,11.009,152408517.831,8.512,8.077,7.662,7.390,7.425,8.035,10.229,13.464,152408520.286,10.967,10.532,9.816,9.845,9.880,10.490,9.544,0.368,3.603,inf,1.106,0.672,0.256,-0.016,0.019,0.629,0.332,3.568,inf,1.070,0.636,0.221,-0.051,-0.017,0.593
9.243,1.714,-0.166,-8.783,-0.547,-0.228,-0.398,0.910,1.000,-0.005,8.778,8.822,11.878,740188396.893,8.925,8.735,8.719,8.453,8.393,8.671,9.287,12.343,740188397.358,9.390,9.200,8.883,8.918,8.858,9.136,8.617,0.859,3.915,inf,0.962,0.772,0.756,0.490,0.430,0.708,0.823,3.879,inf,0.926,0.736,0.720,0.454,0.394,0.672
9.766,0.771,0.019,-8.587,-0.493,0.385,-0.046,0.761,1.000,0.343,8.930,9.075,12.140,1888889624.294,9.290,9.032,8.753,8.821,8.651,8.991,9.911,12.976,1888889625.130,10.126,9.867,9.288,9.657,9.487,9.827,9.356,1.541,4.606,inf,1.757,1.498,1.220,1.288,1.117,1.457,1.505,4.570,inf,1.721,1.462,1.184,1.252,1.082,1.421
10.017,2.101,0.298,-8.638,-0.099,0.081,0.027,0.497,1.000,-0.015,8.624,8.816,11.946,1284194880.961,9.225,8.876,8.604,8.685,8.474,8.907,10.209,13.339,1284194882.354,10.618,10.269,9.696,10.079,9.868,10.300,9.778,1.113,4.243,inf,1.523,1.173,0.902,0.983,0.772,1.204,1.077,4.208,inf,1.487,1.138,0.866,0.947,0.736,1.169
9.910,0.672,0.513,-9.090,-0.021,-0.108,0.041,0.637,1.000,-1.005,8.085,8.098,11.254,242858529.358,8.612,8.292,7.963,7.759,7.778,8.283,9.923,13.079,242858531.183,10.437,10.117,9.487,9.584,9.603,10.108,9.283,0.626,3.782,inf,1.140,0.820,0.491,0.287,0.306,0.811,0.590,3.746,inf,1.105,0.784,0.455,0.251,0.271,0.775
